bid,selname
1,AF EVANS CO CORP
1,AF EVANS COMPANY
1,A F EVANS COMPAN
1,AF EVANS CO
1,A.F. EVANS COMPA
1,AF EVANS CORP
27,AUBURN COUNTRY HOMES LLC
27,AUBURN DEV PARTNERS
27,AUBURN HOM BUILDING INC
27,AUBURN DEV PAR
27,AUBURN DEV PARTNERS LLC
31,A J BOKAR BUILDING CO
31,A J BOKAR BUILDING CO INC
31,AJ BOKAR BUILDING CO INC
31,AJ BOKAR BUILDING CO
31,A J BOKAR BUILDING
31,A J BOKAR BUILDINGS CO
47,ABEL HOMES AT CAMBRIDGE EST
47,ABEL HMS OF CAMBRIDGE ESTATES LLC
47,ABEL HOMES CAMBRIDGE ESTS LLC
47,ABEL HOMES AT CAMBRIDGE ESTS
47,ABEL HOMES AT CAMBRIDGE ESTATE
70,AVERY DEVELOPMENT CO BOCA RATO
70,AVERY DEVELOPMENT COMPANY BOCA
70,AVERY DEVELOPMENT CO-BOCA RATO
70,AVERY DEVELOPMENT COMPANY
70,AVERY DEVELOPMENT CO-BOC RATON
70,AVERY DEVLOPMENT CO
70,AVERY DEVELOPMENT CO
87,ALEXIS DEVELOPMENT CORP INC
87,ALEXIS DEVELOPMENT INC
87,ALEXIS DEVELOPMENT CORP
87,ALEXIS DEVELOPMENT GROUP INC
87,ALEXIS DEV INC
98,APPLE VALLEY
98,APPLE VALLEY ASO
98,APPLE VALLEY ASS
98,APPLE VALLEY ASC
98,APPLE VALLEY A
98,APPLE VALLEY ASN
174,BISHOP HOMES OF TWINBURG INC
174,BISHOP HOMES OF TWINSBURG
174,BISHOP HOMES OF TWINBURG INCOR
174,BISHOP HOMES OF TWINSBURG INC
174,BISHOP HOMES TWINSBURG INC
174,BISHOP HOMES TWINSBURG INCORPO
174,BISHOP HOMES TWINSBURG INCORP
174,BISHOP HOMES OF TWINSBURG INCO
174,BISHOP HOMES INC
174,BISHOP HOMES OF TWINSBERG INC
180,BISHOP HOMES COPLEY INC
180,BISHOP HOMES INC
180,BISHOP HOMES
180,BISHOP HOMES OF COPLEY INC
180,BISHOP HOMES & COPLEY INC
180,BISHOP HOMES OF COPLEY
182,ADMIRALS COVE ASS LTD
182,ADMIRALS COVE ASSOCIATES
182,ADMIRAL'S COVE ASSOCIATES LTD
182,ADMIRALS COVE ASSOCIATES LTD
182,ADMIRALS COVE ASSICIATES LTD
187,ADRIAN HOME COMM AT EAGLE COVE
187,ADRIAN HOME COMMUN EAGLE COVE
187,ADRIAN HOME COMMUNITIES INC
187,ADRIAN HOME COMMUNITIES EAGLE
187,ADRIAN HOME COMMUNITIES AT EAG
188,ADRIAN HOME COMM AT EAGLE COVE
188,ADRIAN HOME COMMUNITIES AT
188,ADRIAN HOME COMMUNITES AT EAGL
188,ADRIAN HOMES CORP
188,ADRIAN HOME COMMUNITIES AT EAG
188,ADRIAN HOMES COMMUNITIES AT EA
191,ADRIANBUILDERS AT TAMIAMI TRL
191,ADRIAN BUILDERS AT TAMIANI TRL
191,ADRIAN BUILDERS AT TAMIAMI TR
191,ADRIAN BUILDERS TAMIANI TRAILS
191,ADRIANBUILDERS AT TAMIAMI
191,ADRIANBUILDERS OF TAMIAMI TRAIL L
191,ADRIAN BUILDERS AT MIAMI
191,ADRIANBUILDERS TAMIAMI TRAIL
191,ADRIANBUILDERS TAMIAMI TRAIL L
191,ADRIANBUILDERS AT TAMIAMI TRAI
191,ADRIAN BLDRS OF TAMIAMI TRAIL LTD
191,ADRIAN BUILDERS AT TAMIAMI TRA
191,ADRIAN BUILDERS AT TAMIAMI TRL
205,ALBANESE HOME INC
205,ALBANESE HOMES INC II
205,ALBANES HOMES INC II
205,ALBANESE HOMES INC
205,ALBANESE HOMES INC INC
230,AG PHILLIPS RANC
230,"A,G PHILIPS RANC"
230,A G PHILLIPS
230,A G PHILLIPS RAN
230,A/G PHILLIPS RAN
244,ASHBROOK GDCI CATHERDRAL CITY
244,ASHBROOK GDCI CATHEDRAL CITY
244,ASHBROOK GDCI CENTRAL CITY LP
244,ASHBROOK GDCI CATHERAL CITY LP
244,ASHBROOK GDCI CATHEDRAL CITY L
265,ACACIAS-MURRIETA INC
265,"ACACIAS,MURRIETA"
265,ACACIAS MURRETA
265,ACACIAS MURRIETA
265,ACACIAS-MURIETA
271,"ACACIA,CONSTRUCT"
271,ACACIA CONST
271,ACACOA CONST INC
271,ACACIA CONST INC
271,ACACIA CONSTRUCT
272,ACACIA CONSTRUCT
272,ACACIA CONSTR IN
272,ACACIA CONSTRUCTION INC
272,ACACIA CONST INC
272,ACACIA CONSTRUCTION
276,ACACIA CONSTRUCTION INC
276,ACACIA CONST
276,ACACIA CONST INC
276,ACACIA CONSTRUCT
276,ACACIA CONSTRUCTION
281,ALBERT D SEENO CONST CO LP
281,ALBER D SEENO CONSTRUCTION CO
281,ALBERT D SEENO CONSTRUCTION IN
281,ALBERT D SEENO CONTRUCTION
281,ALBERT D SEENO
281,ALBERT D SEENO C
281,ALBERTD D SEENO CONST CO
281,ALBERT D SEENO CONST
281,ALBERT D SEENO CONSTRUCTION
281,ALBERT D SEENO CONSTRUCTION CO
281,ALBERT D SEENO CONST CO
281,ALBERT D SEENO CONSTRUCTION OC
281,ALBERT D SEENO CONST INC
281,ALBERT D SENO CONSTRUCTION CO
281,ALBERT D CONSTRUCTION CO
282,ALBERT D SENO CONSTRUCTION CO
282,ALBERT D SEENO CONSTRUCTION
282,ALBERT D SEENO CONSTRUCTION CO
282,ALBERT D SEENO
282,ALBERT D SEENO CONSTRCTION
282,ALBERT D SEENO CONST CO
286,ALBERT D & CONSTRUCTION CO
286,ALBERT D SEENO CONSTRUCTION
286,ALBERT D SEENO CONSTRUCTION CO
286,ALBERT D SEENO
286,ALBERT D SERENO CONSTRUCTION
315,AN SEA INVESTMENT INC
315,ANSEA INVESTMENT CO INC
315,AN-SCA INVESTMENT CO INC
315,ANSCA HOMES OF FLORIDA INC
315,ANSCA HOMES OF FLORIDA
315,AN SEA INVESTMENT CO INC
315,ANSEA HOMES OF FLORIDA INC
315,AN SCA INVESTMENT CO INC
315,AN-SEA INVESTMENT CO INC
315,ANCSA HOMES OF FLORIDA INC
315,ANSEA HOMES OF FLORIDA
341,ACTON-STERLING INVESTORS
341,ACTON-STERLING INVESTORS III
341,ACTON-STERLING INVESTORS-I
341,"ACTON-STERLING,I"
341,"ACTON-STERLING,INVS"
341,ACTON-STERLING INVESTORS-II
381,ALAMADEN MEADOWS ASSOC LP
381,ALMADEN M ASSOCIATES LP
381,ALMADEN ASSOCIATES LP
381,ALAMEDA MORTGAGE
381,ALMADEN MEADOWS ASSOC LP
381,ALMADEN MEADOWS ASSOCIATES INC
381,ALAMDEN MEADOWS ASSOC LP
381,ALMDEN MEADOWS ASSOC LP
381,ALAMADEN MEADOW ASSOCIATES LP
381,ALMDEN MEADOWS ASSOCIATES
381,ALMADEN MEAODOWS ASSOC LP
381,ALMADEN MEADOWS ASSOC
381,AOLMADEN MEADOWS ASSOCIATES LP
381,ALMADEN MEADOWS ASSOCIATES
381,ALMADEN MEADOWS ASSOCIATES LP
381,ALAMDEN MEAODOWS ASSOC LP
401,ARIEL HOMES CORP ROYAL LAKES
401,ARIEL HOMES CORP
401,ARIEL HOMES CORPORATION OF ROY
401,ARIEL HOMES CORPORATION
401,ARIEL HOMES CORP OF ROYAL LAKE
403,ARIEL HOMES CORP OF ROYAL LAKE
403,ARIEL HOMES CORP ROYAL LAKES
403,ARIEL HOMES CORPORATION
403,ARIEL HOMES CORP
403,ARIEL HOMES CORPORATION OF ROY
439,ANTIOCH VALLEY ASSOCIATES LP
439,ANTIOCH VALLEY ASSOCIATES
439,ANTIOCH VALLEY ASSOC
439,ANTIOCH VALLEY A
439,ANTIOCH VALLEY ASSOC LP
448,AKINS GDC LAGUNA
448,AKINS G D C LAGU
448,AKINS GDC LAGUAN
448,AKINS GDC LAUGNA
448,AKINS G D C
448,AKINS CDG LAGUNA
448,AKINS GDC LAG NA
448,AKINS GDC LAGU
493,AHMANSON DEVELOPMENT INC
493,AHMANSON DEVELOPMENTS INC
493,AHMANSON DEVELOPMENTS INCORPOR
493,AHMANSON DEVELOPMETNS INC
493,AHMANSON DEVELOPMENTS
495,A M HOMES
495,A-M HOMES
495,AM HOMES LP
495,AM HOMES
495,A-M HOMES LP
496,AM HOMES
496,A-M HOMES LP
496,A-M HOMES INC
496,A M HOMES
496,A-M HOMES
496,A&M HOMES LP
496,A-M HOMES LIMITED
496,AM HOMES LP
496,AM HOMES CORP
499,A-M HOMES LP
499,AM HOMES LP
499,A-M HOMES INC
499,AM HOMES
499,A-M HOMES
499,A M HOMES
516,A-M HOMES/PLACIO
516,A-M HOMES/PALACITO LP
516,A-M HOMES\PALACIO LP
516,AM HOMES/PALACIO
516,AM HOMES PALACIO
516,A-M HOMES/PALACI
516,A-M HOMES/PALACIO LP
516,A M HOMES
516,A M HOMES PALACIO LP
520,CHICAGO CITY BK & TR CO TTEE
520,CHCIAGO CITY BK&TR CO TRUSTEE
520,CHICAGO CITY BANK & TRUST TTEE
520,CHICAGO CITY BANK & TR CO TTEE
520,CHICAGO CITY BK&TR TRUSTEE
520,CHCIAGO CITY BANK & TRUST TTEE
520,CHICAGO CITY BK & TRT CO TTEE
573,"ADELFA,OCASO"
