zipetc,medhval
"90001, Los Angeles County, California",102200
"90002, Los Angeles County, California",95300
"90003, Los Angeles County, California",94300
"90004, Los Angeles County, California",402400
"90005, Los Angeles County, California",499100
"90006, Los Angeles County, California",179700
"90007, Los Angeles County, California",148600
"90008, Los Angeles County, California",221800
"90010, Los Angeles County, California",435700
"90011, Los Angeles County, California",102300
"90012, Los Angeles County, California",161900
"90013, Los Angeles County, California",178600
"90014, Los Angeles County, California",0
"90015, Los Angeles County, California",144600
"90016, Los Angeles County, California",140000
"90017, Los Angeles County, California",187500
"90018, Los Angeles County, California",134500
"90019, Los Angeles County, California",239900
"90020, Los Angeles County, California",500001
"90021, Los Angeles County, California",47500
"90022, Los Angeles County, California",149000
"90023, Los Angeles County, California",135400
"90024, Los Angeles County, California",500001
"90025, Los Angeles County, California",457400
"90026, Los Angeles County, California",202400
"90027, Los Angeles County, California",386600
"90028, Los Angeles County, California",217100
"90029, Los Angeles County, California",214200
"90031, Los Angeles County, California",153800
"90032, Los Angeles County, California",151100
"90033, Los Angeles County, California",137800
"90034, Los Angeles County, California",357400
"90035, Los Angeles County, California",420200
"90036, Los Angeles County, California",435900
"90037, Los Angeles County, California",111500
"90038, Los Angeles County, California",227400
"90039, Los Angeles County, California",241300
"90040, Los Angeles County, California",151500
"90041, Los Angeles County, California",227300
"90042, Los Angeles County, California",169300
"90043, Los Angeles County, California",158000
"90044, Los Angeles County, California",108600
"90045, Los Angeles County, California",348700
"90046, Los Angeles County, California",472500
"90047, Los Angeles County, California",127900
"90048, Los Angeles County, California",432400
"90049, Los Angeles County, California",500001
"90056, Los Angeles County, California",401700
"90057, Los Angeles County, California",174000
"90058, Los Angeles County, California",102700
"90059, Los Angeles County, California",94100
"90061, Los Angeles County, California",97800
"90062, Los Angeles County, California",115400
"90063, Los Angeles County, California",126800
"90064, Los Angeles County, California",467400
"90065, Los Angeles County, California",194500
"90066, Los Angeles County, California",365200
"90067, Los Angeles County, California",500001
"90068, Los Angeles County, California",461800
"90069, Los Angeles County, California",500001
"90071, Los Angeles County, California",0
"90077, Los Angeles County, California",500001
"90201, Los Angeles County, California",164400
"90210, Los Angeles County, California",500001
"90211, Los Angeles County, California",500001
"90212, Los Angeles County, California",500001
"90220, Los Angeles County, California",106300
"90221, Los Angeles County, California",110300
"90222, Los Angeles County, California",96400
"90230, Los Angeles County, California",312100
"90232, Los Angeles County, California",331400
"90240, Los Angeles County, California",252500
"90241, Los Angeles County, California",246100
"90242, Los Angeles County, California",196600
"90245, Los Angeles County, California",354100
"90247, Los Angeles County, California",194800
"90248, Los Angeles County, California",205900
"90249, Los Angeles County, California",201800
