zipetc,white,black,native,asian,other
"90001, Los Angeles County, California",10147,13732,120,205,27431
"90002, Los Angeles County, California",3326,23574,207,109,13938
"90003, Los Angeles County, California",6264,27745,71,205,19414
"90004, Los Angeles County, California",29695,2420,288,16791,14947
"90005, Los Angeles County, California",10164,2838,181,8857,13566
"90006, Los Angeles County, California",15275,3246,271,13081,31368
"90007, Los Angeles County, California",13858,8576,359,3330,20763
"90008, Los Angeles County, California",1607,27434,148,1634,2064
"90010, Los Angeles County, California",1991,424,10,1113,2061
"90011, Los Angeles County, California",15274,26048,143,1144,53448
"90012, Los Angeles County, California",5766,5186,123,11326,6086
"90013, Los Angeles County, California",1761,1914,137,450,944
"90014, Los Angeles County, California",999,738,19,651,418
"90015, Los Angeles County, California",5515,558,58,773,12099
"90016, Los Angeles County, California",4200,28179,226,2291,9241
"90017, Los Angeles County, California",7731,337,146,920,12683
"90018, Los Angeles County, California",4849,28553,141,2300,12480
"90019, Los Angeles County, California",11717,27821,230,9024,15945
"90020, Los Angeles County, California",10953,4045,99,14144,5775
"90021, Los Angeles County, California",948,818,30,55,1041
"90022, Los Angeles County, California",21196,156,328,771,42565
"90023, Los Angeles County, California",28199,98,159,504,18310
"90024, Los Angeles County, California",30283,1042,148,5666,1180
"90025, Los Angeles County, California",29477,1240,129,5285,1949
"90026, Los Angeles County, California",29658,1764,180,17747,25865
"90027, Los Angeles County, California",36618,2181,116,6324,4947
"90028, Los Angeles County, California",21182,2149,151,1868,5355
"90029, Los Angeles County, California",21068,1441,44,7733,10882
"90031, Los Angeles County, California",14610,423,220,11251,13607
"90032, Los Angeles County, California",17994,793,303,6360,21024
"90033, Los Angeles County, California",30307,1103,181,2908,22689
"90034, Los Angeles County, California",31793,8880,311,6817,5876
"90035, Los Angeles County, California",19929,4037,43,1220,713
"90036, Los Angeles County, California",24507,2289,23,2229,651
"90037, Los Angeles County, California",7229,23935,15,759,24878
"90038, Los Angeles County, California",19698,1501,73,3548,8002
"90039, Los Angeles County, California",15809,839,203,5811,6644
"90040, Los Angeles County, California",3876,197,45,87,5381
"90041, Los Angeles County, California",17044,496,89,5165,4078
"90042, Los Angeles County, California",31239,1325,495,9551,17721
"90043, Los Angeles County, California",3422,36549,71,572,4905
"90044, Los Angeles County, California",6663,51672,151,892,24708
"90045, Los Angeles County, California",28166,2728,123,3106,2312
"90046, Los Angeles County, California",42872,1909,116,1973,1317
"90047, Los Angeles County, California",2138,40099,148,502,5408
"90048, Los Angeles County, California",19932,379,30,931,237
"90049, Los Angeles County, California",32368,550,125,1936,348
"90056, Los Angeles County, California",2692,4970,15,369,143
"90057, Los Angeles County, California",11682,1955,372,6132,18408
"90058, Los Angeles County, California",799,1167,24,427,1713
"90059, Los Angeles County, California",3089,22005,47,12,9561
"90061, Los Angeles County, California",2169,13323,20,103,5743
"90062, Los Angeles County, California",1552,19405,250,750,5523
"90063, Los Angeles County, California",30757,1800,181,1081,27582
"90064, Los Angeles County, California",18507,429,57,2912,1454
"90065, Los Angeles County, California",21771,725,160,7489,14863
"90066, Los Angeles County, California",38097,1695,175,7253,6032
"90067, Los Angeles County, California",2457,42,0,121,11
"90068, Los Angeles County, California",21331,1259,151,1186,1425
"90069, Los Angeles County, California",18888,895,20,563,344
"90071, Los Angeles County, California",29,0,0,0,0
