Id,Id2,Geography,medhhinc
8600000US89439,89439,"89439 5-Digit ZCTA, 894 3-Digit ZCTA",57283
8600000US90001,90001,"90001 5-Digit ZCTA, 900 3-Digit ZCTA",24207
8600000US90002,90002,"90002 5-Digit ZCTA, 900 3-Digit ZCTA",22872
8600000US90003,90003,"90003 5-Digit ZCTA, 900 3-Digit ZCTA",22346
8600000US90004,90004,"90004 5-Digit ZCTA, 900 3-Digit ZCTA",27591
8600000US90005,90005,"90005 5-Digit ZCTA, 900 3-Digit ZCTA",21998
8600000US90006,90006,"90006 5-Digit ZCTA, 900 3-Digit ZCTA",20593
8600000US90007,90007,"90007 5-Digit ZCTA, 900 3-Digit ZCTA",17644
8600000US90008,90008,"90008 5-Digit ZCTA, 900 3-Digit ZCTA",30472
8600000US90010,90010,"90010 5-Digit ZCTA, 900 3-Digit ZCTA",32083
8600000US90011,90011,"90011 5-Digit ZCTA, 900 3-Digit ZCTA",23851
8600000US90012,90012,"90012 5-Digit ZCTA, 900 3-Digit ZCTA",20152
8600000US90013,90013,"90013 5-Digit ZCTA, 900 3-Digit ZCTA",8855
8600000US90014,90014,"90014 5-Digit ZCTA, 900 3-Digit ZCTA",8633
8600000US90015,90015,"90015 5-Digit ZCTA, 900 3-Digit ZCTA",18533
8600000US90016,90016,"90016 5-Digit ZCTA, 900 3-Digit ZCTA",29079
8600000US90017,90017,"90017 5-Digit ZCTA, 900 3-Digit ZCTA",14847
8600000US90018,90018,"90018 5-Digit ZCTA, 900 3-Digit ZCTA",23797
8600000US90019,90019,"90019 5-Digit ZCTA, 900 3-Digit ZCTA",31501
8600000US90020,90020,"90020 5-Digit ZCTA, 900 3-Digit ZCTA",24208
8600000US90021,90021,"90021 5-Digit ZCTA, 900 3-Digit ZCTA",13053
8600000US90022,90022,"90022 5-Digit ZCTA, 900 3-Digit ZCTA",27471
8600000US90023,90023,"90023 5-Digit ZCTA, 900 3-Digit ZCTA",26884
8600000US90024,90024,"90024 5-Digit ZCTA, 900 3-Digit ZCTA",47573
8600000US90025,90025,"90025 5-Digit ZCTA, 900 3-Digit ZCTA",47806
8600000US90026,90026,"90026 5-Digit ZCTA, 900 3-Digit ZCTA",28651
8600000US90027,90027,"90027 5-Digit ZCTA, 900 3-Digit ZCTA",31820
8600000US90028,90028,"90028 5-Digit ZCTA, 900 3-Digit ZCTA",21893
8600000US90029,90029,"90029 5-Digit ZCTA, 900 3-Digit ZCTA",22043
8600000US90031,90031,"90031 5-Digit ZCTA, 900 3-Digit ZCTA",25300
8600000US90032,90032,"90032 5-Digit ZCTA, 900 3-Digit ZCTA",33445
8600000US90033,90033,"90033 5-Digit ZCTA, 900 3-Digit ZCTA",22429
8600000US90034,90034,"90034 5-Digit ZCTA, 900 3-Digit ZCTA",37231
8600000US90035,90035,"90035 5-Digit ZCTA, 900 3-Digit ZCTA",50014
8600000US90036,90036,"90036 5-Digit ZCTA, 900 3-Digit ZCTA",47746
8600000US90037,90037,"90037 5-Digit ZCTA, 900 3-Digit ZCTA",20275
8600000US90038,90038,"90038 5-Digit ZCTA, 900 3-Digit ZCTA",23306
8600000US90039,90039,"90039 5-Digit ZCTA, 900 3-Digit ZCTA",45615
8600000US90040,90040,"90040 5-Digit ZCTA, 900 3-Digit ZCTA",35205
8600000US90041,90041,"90041 5-Digit ZCTA, 900 3-Digit ZCTA",48439
8600000US90042,90042,"90042 5-Digit ZCTA, 900 3-Digit ZCTA",36064
8600000US90043,90043,"90043 5-Digit ZCTA, 900 3-Digit ZCTA",34069
8600000US90044,90044,"90044 5-Digit ZCTA, 900 3-Digit ZCTA",22091
8600000US90045,90045,"90045 5-Digit ZCTA, 900 3-Digit ZCTA",56566
8600000US90046,90046,"90046 5-Digit ZCTA, 900 3-Digit ZCTA",37398
8600000US90047,90047,"90047 5-Digit ZCTA, 900 3-Digit ZCTA",35142
8600000US90048,90048,"90048 5-Digit ZCTA, 900 3-Digit ZCTA",47185
8600000US90049,90049,"90049 5-Digit ZCTA, 900 3-Digit ZCTA",84342
8600000US90056,90056,"90056 5-Digit ZCTA, 900 3-Digit ZCTA",72193
8600000US90057,90057,"90057 5-Digit ZCTA, 900 3-Digit ZCTA",19736
8600000US90058,90058,"90058 5-Digit ZCTA, 900 3-Digit ZCTA",18729
8600000US90059,90059,"90059 5-Digit ZCTA, 900 3-Digit ZCTA",22151
8600000US90061,90061,"90061 5-Digit ZCTA, 900 3-Digit ZCTA",26449
8600000US90062,90062,"90062 5-Digit ZCTA, 900 3-Digit ZCTA",26901
8600000US90063,90063,"90063 5-Digit ZCTA, 900 3-Digit ZCTA",30174
8600000US90064,90064,"90064 5-Digit ZCTA, 900 3-Digit ZCTA",59923
8600000US90065,90065,"90065 5-Digit ZCTA, 900 3-Digit ZCTA",38271
8600000US90066,90066,"90066 5-Digit ZCTA, 900 3-Digit ZCTA",45089
8600000US90067,90067,"90067 5-Digit ZCTA, 900 3-Digit ZCTA",74830
8600000US90068,90068,"90068 5-Digit ZCTA, 900 3-Digit ZCTA",52890
8600000US90069,90069,"90069 5-Digit ZCTA, 900 3-Digit ZCTA",51215
8600000US90071,90071,"90071 5-Digit ZCTA, 900 3-Digit ZCTA",0
8600000US90077,90077,"90077 5-Digit ZCTA, 900 3-Digit ZCTA",141527
8600000US900HH,900HH,"900HH 5-Digit ZCTA, 900 3-Digit ZCTA",0
8600000US90201,90201,"90201 5-Digit ZCTA, 902 3-Digit ZCTA",30029
8600000US90210,90210,"90210 5-Digit ZCTA, 902 3-Digit ZCTA",112572
8600000US90211,90211,"90211 5-Digit ZCTA, 902 3-Digit ZCTA",57746
8600000US90212,90212,"90212 5-Digit ZCTA, 902 3-Digit ZCTA",61039
8600000US90220,90220,"90220 5-Digit ZCTA, 902 3-Digit ZCTA",33997
8600000US90221,90221,"90221 5-Digit ZCTA, 902 3-Digit ZCTA",31310
8600000US90222,90222,"90222 5-Digit ZCTA, 902 3-Digit ZCTA",29520
8600000US90230,90230,"90230 5-Digit ZCTA, 902 3-Digit ZCTA",51275
8600000US90232,90232,"90232 5-Digit ZCTA, 902 3-Digit ZCTA",46121
8600000US90240,90240,"90240 5-Digit ZCTA, 902 3-Digit ZCTA",55492
8600000US90241,90241,"90241 5-Digit ZCTA, 902 3-Digit ZCTA",43557
8600000US90242,90242,"90242 5-Digit ZCTA, 902 3-Digit ZCTA",42956
8600000US90245,90245,"90245 5-Digit ZCTA, 902 3-Digit ZCTA",61341
8600000US90247,90247,"90247 5-Digit ZCTA, 902 3-Digit ZCTA",35101
8600000US90248,90248,"90248 5-Digit ZCTA, 902 3-Digit ZCTA",43125
8600000US90249,90249,"90249 5-Digit ZCTA, 902 3-Digit ZCTA",44451
8600000US90250,90250,"90250 5-Digit ZCTA, 902 3-Digit ZCTA",33656
8600000US90254,90254,"90254 5-Digit ZCTA, 902 3-Digit ZCTA",81352
8600000US90255,90255,"90255 5-Digit ZCTA, 902 3-Digit ZCTA",30375
8600000US90260,90260,"90260 5-Digit ZCTA, 902 3-Digit ZCTA",41404
8600000US90261,90261,"90261 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90262,90262,"90262 5-Digit ZCTA, 902 3-Digit ZCTA",35846
8600000US90263,90263,"90263 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90265,90265,"90265 5-Digit ZCTA, 902 3-Digit ZCTA",100857
8600000US90266,90266,"90266 5-Digit ZCTA, 902 3-Digit ZCTA",100761
8600000US90270,90270,"90270 5-Digit ZCTA, 902 3-Digit ZCTA",30480
8600000US90272,90272,"90272 5-Digit ZCTA, 902 3-Digit ZCTA",122877
8600000US90274,90274,"90274 5-Digit ZCTA, 902 3-Digit ZCTA",117979
8600000US90275,90275,"90275 5-Digit ZCTA, 902 3-Digit ZCTA",95643
8600000US90277,90277,"90277 5-Digit ZCTA, 902 3-Digit ZCTA",68263
8600000US90278,90278,"90278 5-Digit ZCTA, 902 3-Digit ZCTA",69614
8600000US90280,90280,"90280 5-Digit ZCTA, 902 3-Digit ZCTA",35744
8600000US90290,90290,"90290 5-Digit ZCTA, 902 3-Digit ZCTA",88661
8600000US90291,90291,"90291 5-Digit ZCTA, 902 3-Digit ZCTA",45769
8600000US90292,90292,"90292 5-Digit ZCTA, 902 3-Digit ZCTA",72215
8600000US90293,90293,"90293 5-Digit ZCTA, 902 3-Digit ZCTA",66425
8600000US902HH,902HH,"902HH 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90301,90301,"90301 5-Digit ZCTA, 903 3-Digit ZCTA",31306
8600000US90302,90302,"90302 5-Digit ZCTA, 903 3-Digit ZCTA",32698
8600000US90303,90303,"90303 5-Digit ZCTA, 903 3-Digit ZCTA",34751
8600000US90304,90304,"90304 5-Digit ZCTA, 903 3-Digit ZCTA",29036
8600000US90305,90305,"90305 5-Digit ZCTA, 903 3-Digit ZCTA",45711
8600000US90401,90401,"90401 5-Digit ZCTA, 904 3-Digit ZCTA",36461
8600000US90402,90402,"90402 5-Digit ZCTA, 904 3-Digit ZCTA",118553
8600000US90403,90403,"90403 5-Digit ZCTA, 904 3-Digit ZCTA",54964
8600000US90404,90404,"90404 5-Digit ZCTA, 904 3-Digit ZCTA",39821
8600000US90405,90405,"90405 5-Digit ZCTA, 904 3-Digit ZCTA",50540
8600000US904HH,904HH,"904HH 5-Digit ZCTA, 904 3-Digit ZCTA",0
8600000US90501,90501,"90501 5-Digit ZCTA, 905 3-Digit ZCTA",42117
8600000US90502,90502,"90502 5-Digit ZCTA, 905 3-Digit ZCTA",48601
8600000US90503,90503,"90503 5-Digit ZCTA, 905 3-Digit ZCTA",58127
8600000US90504,90504,"90504 5-Digit ZCTA, 905 3-Digit ZCTA",50587
8600000US90505,90505,"90505 5-Digit ZCTA, 905 3-Digit ZCTA",60737
8600000US90601,90601,"90601 5-Digit ZCTA, 906 3-Digit ZCTA",52800
8600000US90602,90602,"90602 5-Digit ZCTA, 906 3-Digit ZCTA",40695
8600000US90603,90603,"90603 5-Digit ZCTA, 906 3-Digit ZCTA",59328
8600000US90604,90604,"90604 5-Digit ZCTA, 906 3-Digit ZCTA",49836
8600000US90605,90605,"90605 5-Digit ZCTA, 906 3-Digit ZCTA",50630
8600000US90606,90606,"90606 5-Digit ZCTA, 906 3-Digit ZCTA",44440
8600000US90620,90620,"90620 5-Digit ZCTA, 906 3-Digit ZCTA",57861
8600000US90621,90621,"90621 5-Digit ZCTA, 906 3-Digit ZCTA",41716
8600000US90623,90623,"90623 5-Digit ZCTA, 906 3-Digit ZCTA",69096
8600000US90630,90630,"90630 5-Digit ZCTA, 906 3-Digit ZCTA",63611
8600000US90631,90631,"90631 5-Digit ZCTA, 906 3-Digit ZCTA",50666
8600000US90638,90638,"90638 5-Digit ZCTA, 906 3-Digit ZCTA",61724
8600000US90640,90640,"90640 5-Digit ZCTA, 906 3-Digit ZCTA",38773
8600000US90650,90650,"90650 5-Digit ZCTA, 906 3-Digit ZCTA",46012
8600000US90660,90660,"90660 5-Digit ZCTA, 906 3-Digit ZCTA",41491
8600000US90670,90670,"90670 5-Digit ZCTA, 906 3-Digit ZCTA",46061
8600000US90680,90680,"90680 5-Digit ZCTA, 906 3-Digit ZCTA",41578
8600000US906HH,906HH,"906HH 5-Digit ZCTA, 906 3-Digit ZCTA",0
8600000US90701,90701,"90701 5-Digit ZCTA, 907 3-Digit ZCTA",44500
8600000US90703,90703,"90703 5-Digit ZCTA, 907 3-Digit ZCTA",72906
