Id,Id2,Geography,medhval
8600000US89439,89439,"89439 5-Digit ZCTA, 894 3-Digit ZCTA",276700
8600000US90001,90001,"90001 5-Digit ZCTA, 900 3-Digit ZCTA",138900
8600000US90002,90002,"90002 5-Digit ZCTA, 900 3-Digit ZCTA",127700
8600000US90003,90003,"90003 5-Digit ZCTA, 900 3-Digit ZCTA",134400
8600000US90004,90004,"90004 5-Digit ZCTA, 900 3-Digit ZCTA",371100
8600000US90005,90005,"90005 5-Digit ZCTA, 900 3-Digit ZCTA",392200
8600000US90006,90006,"90006 5-Digit ZCTA, 900 3-Digit ZCTA",169000
8600000US90007,90007,"90007 5-Digit ZCTA, 900 3-Digit ZCTA",172700
8600000US90008,90008,"90008 5-Digit ZCTA, 900 3-Digit ZCTA",236000
8600000US90010,90010,"90010 5-Digit ZCTA, 900 3-Digit ZCTA",692700
8600000US90011,90011,"90011 5-Digit ZCTA, 900 3-Digit ZCTA",140000
8600000US90012,90012,"90012 5-Digit ZCTA, 900 3-Digit ZCTA",159500
8600000US90013,90013,"90013 5-Digit ZCTA, 900 3-Digit ZCTA",160000
8600000US90014,90014,"90014 5-Digit ZCTA, 900 3-Digit ZCTA",37500
8600000US90015,90015,"90015 5-Digit ZCTA, 900 3-Digit ZCTA",205600
8600000US90016,90016,"90016 5-Digit ZCTA, 900 3-Digit ZCTA",161500
8600000US90017,90017,"90017 5-Digit ZCTA, 900 3-Digit ZCTA",231700
8600000US90018,90018,"90018 5-Digit ZCTA, 900 3-Digit ZCTA",160600
8600000US90019,90019,"90019 5-Digit ZCTA, 900 3-Digit ZCTA",245700
8600000US90020,90020,"90020 5-Digit ZCTA, 900 3-Digit ZCTA",905400
8600000US90021,90021,"90021 5-Digit ZCTA, 900 3-Digit ZCTA",171900
8600000US90022,90022,"90022 5-Digit ZCTA, 900 3-Digit ZCTA",158900
8600000US90023,90023,"90023 5-Digit ZCTA, 900 3-Digit ZCTA",157200
8600000US90024,90024,"90024 5-Digit ZCTA, 900 3-Digit ZCTA",874500
8600000US90025,90025,"90025 5-Digit ZCTA, 900 3-Digit ZCTA",404400
8600000US90026,90026,"90026 5-Digit ZCTA, 900 3-Digit ZCTA",206900
8600000US90027,90027,"90027 5-Digit ZCTA, 900 3-Digit ZCTA",423900
8600000US90028,90028,"90028 5-Digit ZCTA, 900 3-Digit ZCTA",192500
8600000US90029,90029,"90029 5-Digit ZCTA, 900 3-Digit ZCTA",217400
8600000US90031,90031,"90031 5-Digit ZCTA, 900 3-Digit ZCTA",155700
8600000US90032,90032,"90032 5-Digit ZCTA, 900 3-Digit ZCTA",151300
8600000US90033,90033,"90033 5-Digit ZCTA, 900 3-Digit ZCTA",150800
8600000US90034,90034,"90034 5-Digit ZCTA, 900 3-Digit ZCTA",321300
8600000US90035,90035,"90035 5-Digit ZCTA, 900 3-Digit ZCTA",432300
8600000US90036,90036,"90036 5-Digit ZCTA, 900 3-Digit ZCTA",452600
8600000US90037,90037,"90037 5-Digit ZCTA, 900 3-Digit ZCTA",144000
8600000US90038,90038,"90038 5-Digit ZCTA, 900 3-Digit ZCTA",225600
8600000US90039,90039,"90039 5-Digit ZCTA, 900 3-Digit ZCTA",239900
8600000US90040,90040,"90040 5-Digit ZCTA, 900 3-Digit ZCTA",156200
8600000US90041,90041,"90041 5-Digit ZCTA, 900 3-Digit ZCTA",218800
8600000US90042,90042,"90042 5-Digit ZCTA, 900 3-Digit ZCTA",159300
8600000US90043,90043,"90043 5-Digit ZCTA, 900 3-Digit ZCTA",172700
8600000US90044,90044,"90044 5-Digit ZCTA, 900 3-Digit ZCTA",141000
8600000US90045,90045,"90045 5-Digit ZCTA, 900 3-Digit ZCTA",347800
8600000US90046,90046,"90046 5-Digit ZCTA, 900 3-Digit ZCTA",521500
8600000US90047,90047,"90047 5-Digit ZCTA, 900 3-Digit ZCTA",153600
8600000US90048,90048,"90048 5-Digit ZCTA, 900 3-Digit ZCTA",463200
8600000US90049,90049,"90049 5-Digit ZCTA, 900 3-Digit ZCTA",951400
8600000US90056,90056,"90056 5-Digit ZCTA, 900 3-Digit ZCTA",429700
8600000US90057,90057,"90057 5-Digit ZCTA, 900 3-Digit ZCTA",173000
8600000US90058,90058,"90058 5-Digit ZCTA, 900 3-Digit ZCTA",139000
8600000US90059,90059,"90059 5-Digit ZCTA, 900 3-Digit ZCTA",130500
8600000US90061,90061,"90061 5-Digit ZCTA, 900 3-Digit ZCTA",137300
8600000US90062,90062,"90062 5-Digit ZCTA, 900 3-Digit ZCTA",147500
8600000US90063,90063,"90063 5-Digit ZCTA, 900 3-Digit ZCTA",147200
8600000US90064,90064,"90064 5-Digit ZCTA, 900 3-Digit ZCTA",452200
8600000US90065,90065,"90065 5-Digit ZCTA, 900 3-Digit ZCTA",189800
8600000US90066,90066,"90066 5-Digit ZCTA, 900 3-Digit ZCTA",341200
8600000US90067,90067,"90067 5-Digit ZCTA, 900 3-Digit ZCTA",761000
8600000US90068,90068,"90068 5-Digit ZCTA, 900 3-Digit ZCTA",495600
8600000US90069,90069,"90069 5-Digit ZCTA, 900 3-Digit ZCTA",769000
8600000US90071,90071,"90071 5-Digit ZCTA, 900 3-Digit ZCTA",0
8600000US90077,90077,"90077 5-Digit ZCTA, 900 3-Digit ZCTA",899400
8600000US900HH,900HH,"900HH 5-Digit ZCTA, 900 3-Digit ZCTA",0
8600000US90201,90201,"90201 5-Digit ZCTA, 902 3-Digit ZCTA",168700
8600000US90210,90210,"90210 5-Digit ZCTA, 902 3-Digit ZCTA",
8600000US90211,90211,"90211 5-Digit ZCTA, 902 3-Digit ZCTA",662800
8600000US90212,90212,"90212 5-Digit ZCTA, 902 3-Digit ZCTA",893100
8600000US90220,90220,"90220 5-Digit ZCTA, 902 3-Digit ZCTA",135400
8600000US90221,90221,"90221 5-Digit ZCTA, 902 3-Digit ZCTA",136900
8600000US90222,90222,"90222 5-Digit ZCTA, 902 3-Digit ZCTA",133700
8600000US90230,90230,"90230 5-Digit ZCTA, 902 3-Digit ZCTA",291500
8600000US90232,90232,"90232 5-Digit ZCTA, 902 3-Digit ZCTA",313100
8600000US90240,90240,"90240 5-Digit ZCTA, 902 3-Digit ZCTA",231700
8600000US90241,90241,"90241 5-Digit ZCTA, 902 3-Digit ZCTA",219500
8600000US90242,90242,"90242 5-Digit ZCTA, 902 3-Digit ZCTA",187600
8600000US90245,90245,"90245 5-Digit ZCTA, 902 3-Digit ZCTA",371900
8600000US90247,90247,"90247 5-Digit ZCTA, 902 3-Digit ZCTA",172600
8600000US90248,90248,"90248 5-Digit ZCTA, 902 3-Digit ZCTA",176000
8600000US90249,90249,"90249 5-Digit ZCTA, 902 3-Digit ZCTA",179700
8600000US90250,90250,"90250 5-Digit ZCTA, 902 3-Digit ZCTA",182900
8600000US90254,90254,"90254 5-Digit ZCTA, 902 3-Digit ZCTA",520400
8600000US90255,90255,"90255 5-Digit ZCTA, 902 3-Digit ZCTA",164800
8600000US90260,90260,"90260 5-Digit ZCTA, 902 3-Digit ZCTA",186800
8600000US90261,90261,"90261 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90262,90262,"90262 5-Digit ZCTA, 902 3-Digit ZCTA",146700
8600000US90263,90263,"90263 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90265,90265,"90265 5-Digit ZCTA, 902 3-Digit ZCTA",844500
8600000US90266,90266,"90266 5-Digit ZCTA, 902 3-Digit ZCTA",672500
8600000US90270,90270,"90270 5-Digit ZCTA, 902 3-Digit ZCTA",156100
8600000US90272,90272,"90272 5-Digit ZCTA, 902 3-Digit ZCTA",894700
8600000US90274,90274,"90274 5-Digit ZCTA, 902 3-Digit ZCTA",744500
8600000US90275,90275,"90275 5-Digit ZCTA, 902 3-Digit ZCTA",560200
8600000US90277,90277,"90277 5-Digit ZCTA, 902 3-Digit ZCTA",446000
8600000US90278,90278,"90278 5-Digit ZCTA, 902 3-Digit ZCTA",323100
8600000US90280,90280,"90280 5-Digit ZCTA, 902 3-Digit ZCTA",161500
8600000US90290,90290,"90290 5-Digit ZCTA, 902 3-Digit ZCTA",490700
8600000US90291,90291,"90291 5-Digit ZCTA, 902 3-Digit ZCTA",372300
8600000US90292,90292,"90292 5-Digit ZCTA, 902 3-Digit ZCTA",385300
8600000US90293,90293,"90293 5-Digit ZCTA, 902 3-Digit ZCTA",552700
8600000US902HH,902HH,"902HH 5-Digit ZCTA, 902 3-Digit ZCTA",0
8600000US90301,90301,"90301 5-Digit ZCTA, 903 3-Digit ZCTA",158900
8600000US90302,90302,"90302 5-Digit ZCTA, 903 3-Digit ZCTA",167400
8600000US90303,90303,"90303 5-Digit ZCTA, 903 3-Digit ZCTA",174100
8600000US90304,90304,"90304 5-Digit ZCTA, 903 3-Digit ZCTA",158900
8600000US90305,90305,"90305 5-Digit ZCTA, 903 3-Digit ZCTA",190600
8600000US90401,90401,"90401 5-Digit ZCTA, 904 3-Digit ZCTA",432600
8600000US90402,90402,"90402 5-Digit ZCTA, 904 3-Digit ZCTA",
8600000US90403,90403,"90403 5-Digit ZCTA, 904 3-Digit ZCTA",648400
8600000US90404,90404,"90404 5-Digit ZCTA, 904 3-Digit ZCTA",317400
8600000US90405,90405,"90405 5-Digit ZCTA, 904 3-Digit ZCTA",508500
8600000US904HH,904HH,"904HH 5-Digit ZCTA, 904 3-Digit ZCTA",0
8600000US90501,90501,"90501 5-Digit ZCTA, 905 3-Digit ZCTA",257600
8600000US90502,90502,"90502 5-Digit ZCTA, 905 3-Digit ZCTA",185400
8600000US90503,90503,"90503 5-Digit ZCTA, 905 3-Digit ZCTA",335700
8600000US90504,90504,"90504 5-Digit ZCTA, 905 3-Digit ZCTA",238300
8600000US90505,90505,"90505 5-Digit ZCTA, 905 3-Digit ZCTA",383500
8600000US90601,90601,"90601 5-Digit ZCTA, 906 3-Digit ZCTA",213900
8600000US90602,90602,"90602 5-Digit ZCTA, 906 3-Digit ZCTA",215300
8600000US90603,90603,"90603 5-Digit ZCTA, 906 3-Digit ZCTA",219100
8600000US90604,90604,"90604 5-Digit ZCTA, 906 3-Digit ZCTA",185800
8600000US90605,90605,"90605 5-Digit ZCTA, 906 3-Digit ZCTA",174500
8600000US90606,90606,"90606 5-Digit ZCTA, 906 3-Digit ZCTA",166900
8600000US90620,90620,"90620 5-Digit ZCTA, 906 3-Digit ZCTA",201400
8600000US90621,90621,"90621 5-Digit ZCTA, 906 3-Digit ZCTA",191200
8600000US90623,90623,"90623 5-Digit ZCTA, 906 3-Digit ZCTA",287400
8600000US90630,90630,"90630 5-Digit ZCTA, 906 3-Digit ZCTA",250900
8600000US90631,90631,"90631 5-Digit ZCTA, 906 3-Digit ZCTA",220300
8600000US90638,90638,"90638 5-Digit ZCTA, 906 3-Digit ZCTA",211300
8600000US90640,90640,"90640 5-Digit ZCTA, 906 3-Digit ZCTA",199100
8600000US90650,90650,"90650 5-Digit ZCTA, 906 3-Digit ZCTA",161000
8600000US90660,90660,"90660 5-Digit ZCTA, 906 3-Digit ZCTA",166700
8600000US90670,90670,"90670 5-Digit ZCTA, 906 3-Digit ZCTA",169200
8600000US90680,90680,"90680 5-Digit ZCTA, 906 3-Digit ZCTA",161800
