Id,Id2,Geography,total,white,black,native,asian,nativeh,other,multi
8600000US89010,89010,ZCTA5 89010,415,314,2,35,1,0,37,26
8600000US89019,89019,ZCTA5 89019,2673,2139,87,21,119,9,187,111
8600000US89060,89060,ZCTA5 89060,10227,8690,204,130,115,59,643,386
8600000US89061,89061,ZCTA5 89061,5252,4540,126,64,92,26,219,185
8600000US89439,89439,ZCTA5 89439,1417,1349,3,8,16,12,9,20
8600000US90001,90001,ZCTA5 90001,57110,20509,6133,410,145,27,27761,2125
8600000US90002,90002,ZCTA5 90002,51223,14392,13101,371,148,33,21239,1939
8600000US90003,90003,ZCTA5 90003,66266,19878,16181,516,149,58,26968,2516
8600000US90004,90004,ZCTA5 90004,62180,23205,2187,497,16704,55,16754,2778
8600000US90005,90005,ZCTA5 90005,37681,10953,2007,317,12740,40,9940,1684
8600000US90006,90006,ZCTA5 90006,59185,18869,2179,626,10934,46,23757,2774
8600000US90007,90007,ZCTA5 90007,40920,15849,4547,274,6317,44,11710,2179
8600000US90008,90008,ZCTA5 90008,32327,2747,22581,144,829,30,4738,1258
8600000US90010,90010,ZCTA5 90010,3800,884,167,8,2514,1,135,91
8600000US90011,90011,ZCTA5 90011,103892,35138,9764,1219,591,37,52759,4384
8600000US90012,90012,ZCTA5 90012,31103,8432,4260,186,13696,56,3603,870
8600000US90013,90013,ZCTA5 90013,11772,4386,3810,168,1835,17,1047,509
8600000US90014,90014,ZCTA5 90014,7005,2813,2058,89,1149,11,536,349
8600000US90015,90015,ZCTA5 90015,18986,6711,1334,196,2671,15,7189,870
8600000US90016,90016,ZCTA5 90016,47596,11653,17829,429,1473,54,13783,2375
8600000US90017,90017,ZCTA5 90017,23768,8266,1430,481,3225,24,9051,1291
8600000US90018,90018,ZCTA5 90018,49310,12825,15663,471,1821,65,16139,2326
8600000US90019,90019,ZCTA5 90019,64458,19321,15249,577,10149,59,15995,3108
8600000US90020,90020,ZCTA5 90020,38967,9486,2270,222,18515,31,7041,1402
8600000US90021,90021,ZCTA5 90021,3951,1620,1242,49,158,4,733,145
8600000US90022,90022,ZCTA5 90022,67179,35177,387,858,549,36,27902,2270
8600000US90023,90023,ZCTA5 90023,45903,22777,308,560,273,32,20498,1455
8600000US90024,90024,ZCTA5 90024,47452,29232,1018,79,12615,57,1843,2608
8600000US90025,90025,ZCTA5 90025,42147,27257,1185,210,8382,49,2779,2285
8600000US90026,90026,ZCTA5 90026,67869,31713,2001,852,11759,84,18107,3353
8600000US90027,90027,ZCTA5 90027,45151,31535,1412,203,5993,36,3916,2056
8600000US90028,90028,ZCTA5 90028,28714,18132,2282,211,2396,59,4212,1422
8600000US90029,90029,ZCTA5 90029,38617,16947,1232,343,6285,40,11872,1898
8600000US90031,90031,ZCTA5 90031,39316,14012,525,427,9970,25,12882,1475
8600000US90032,90032,ZCTA5 90032,45786,20608,1050,680,5120,33,16417,1878
