"AREAKEY","GEO2000","TCH70_00","PCTCOV70","STATECD","STATECE","STUSAB","COUNCD","UCOUNTY","TRCTCD1","TRCTCD2","REGION","DIVIS","SHRNHW9","SHRNHB9","SHRNHI9","SHRNHA9","SHRNHO9","SHRHSP9","FFH9","EDUC169","EDUCPP9","UNEMPRT9","WELFARE9","MDFAMY9","AVHHIN9","MDVALHS9","SHRNHW0","SHRNHB0","SHRNHI0","SHRNHA0","SHRNHO0","SHRHSP0","FFH0","EDUC160","EDUCPP0","UNEMPRT0","WELFARE0","MDFAMY0","AVHHIN0","MDVALHS0"
"06001400100","06001400100","4","100.00","06","93","CA","001","06001","4001","","4","9","0.85112782","0.04060150","0.000000","0.079323","0.000000","0.02857143","0.08510638","1629","2157","0.02318668","0.00987654","96336","104273.087243","361206","0.773133","0.054383","0.004464","0.122159","0.000000","0.045860","0.019920","1707","2039","0.009947","0.010999","161092","172109.074244","695900"
"06001400200","06001400200","0","100.00","06","93","CA","001","06001","4002","","4","9","0.83513780","0.04379921","0.009843","0.051673","0.004429","0.05511811","0.11904762","996","1475","0.01066448","0.03196347","63381","60794.397260","346900","0.813786","0.033436","0.000514","0.085905","0.006687","0.059671","0.070423","1240","1605","0.049656","0.000000","99613","105901.310044","470400"
"06001400300","06001400300","0","100.00","06","93","CA","001","06001","4003","","4","9","0.71825080","0.14157348","0.006789","0.057508","0.001797","0.07408147","0.20930233","2073","3732","0.07629256","0.09220146","43050","41007.643786","259500","0.688397","0.164207","0.000205","0.087126","0.001845","0.058221","0.182004","2482","3915","0.037708","0.064000","73786","75703.160000","391600"
"06001400400","06001400400","0","100.00","06","93","CA","001","06001","4004","","4","9","0.63987555","0.22297122","0.007519","0.076744","0.000000","0.05289085","0.29836066","1527","2681","0.07924377","0.06169377","35571","37349.260796","238200","0.651817","0.183930","0.005193","0.085542","0.005466","0.068051","0.315254","1937","2832","0.045510","0.064230","65833","74562.236988","394700"
"06001400500","06001400500","0","100.00","06","93","CA","001","06001","4005","","4","9","0.32477612","0.55462687","0.006269","0.067463","0.000000","0.04686567","0.45907473","769","2198","0.12934473","0.14247130","31038","27792.191762","151000","0.376574","0.447731","0.001757","0.061493","0.010835","0.101611","0.333333","1110","2345","0.054197","0.086957","53295","52546.203764","229900"
"06001400600","06001400600","0","100.00","06","93","CA","001","06001","4006","","4","9","0.22797619","0.65297619","0.000000","0.044643","0.011310","0.06309524","0.49197861","241","1119","0.17510260","0.22253521","25469","25585.056338","158000","0.243831","0.615746","0.000000","0.042303","0.007051","0.091069","0.560694","313","1227","0.052350","0.190083","46838","55996.694215","265900"
"06001400700","06001400700","4","100.00","06","93","CA","001","06001","4007","","4","9","0.11942070","0.80508072","0.000000","0.034663","0.000000","0.04083571","0.65806452","527","2885","0.09486781","0.19697850","32738","25834.761185","119300","0.188272","0.686363","0.001348","0.053696","0.000000","0.070321","0.562900","698","3003","0.068764","0.229827","36958","40595.993322","176800"
"06001400800","06001400800","0","100.00","06","93","CA","001","06001","4008","","4","9","0.15806145","0.73519164","0.002851","0.073804","0.002851","0.02724105","0.43264249","441","2150","0.11041230","0.24701874","23092","23947.336457","94500","0.225126","0.573508","0.005049","0.081972","0.000000","0.114345","0.541353","630","2356","0.116687","0.176036","43594","44343.639053","162800"
"06001400900","06001400900","4","100.00","06","93","CA","001","06001","4009","","4","9","0.18466612","0.74896950","0.000000","0.037098","0.003298","0.02596867","0.56034483","277","1657","0.13027179","0.25605901","25583","25158.307692","134600","0.220594","0.649573","0.006512","0.078144","0.002035","0.043142","0.474006","464","1765","0.093949","0.185080","35375","38730.500472","137500"
"06001401000","06001401000","4","100.00","06","93","CA","001","06001","4010","","4","9","0.07805677","0.81877729","0.006004","0.045670","0.000000","0.05149199","0.62372449","437","3615","0.18979334","0.29257246","19401","23449.140399","107000","0.097740","0.737607","0.002627","0.070065","0.002277","0.089683","0.550938","563","3707","0.102104","0.212424","27143","39934.926151","162000"
